"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"3045788",0,0,2007,"0103","0","1","4","08",0,1,"A",,,,,,1800,1,"B","C","A","MARINA BL","UNIVERSITY AV",514,"N","N","2007-05-19",103,"2007-01-08",1515,"157","20","5","6","0","0",,"0","019","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045794",-122.291873154,37.8606338501,2007,"0103","0","5","3","01",0,1,"A",,"Y",,,"Y",2100,1,"D","G","A","DWIGHT WY","9TH ST",0,,"Y","2007-05-17",103,"2007-01-26",1940,"141","32","5","6","0","0",,"0","015","-","N",,0,0,,,0,,,,"N",2,"A","-",23153,"A","N","B","H","-","C","A","0","Y","A","01",0,1,0,0,0,0,1,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045798",-122.270627252,37.8700180054,2007,"0103","0","6","4","03",0,1,"B",,"Y",,,,1200,1,"H","A","A","MILVIA ST","CENTER ST",12,"N","N","2007-05-23",103,"2007-01-27",1132,"57","29","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",1,"A","-",22350,,"N","B","H","-","A","D","0","Y","-","-",0,0,1,0,0,0,1,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045804",-122.242322109,37.85756981,2007,"0103","0","6","4","09",0,3,"A",,,,,,2100,1,"D","C","A","RT 13","DOMINGO AV",0,,"Y","2007-06-01",103,"2007-01-06",1842,"106","38","5","6","0","0",,"0","008","-","Y","ALA",4,13,"-","-",10.69,"I","5","N","Y",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","A",,0,0,3,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045823",-122.269693152,37.8682937622,2007,"0103","0","6","4","03",0,1,"A",,"Y",,,,1200,1,"E","I","A","KITTREDGE ST","HAROLD WY",0,,"Y","2007-05-17",103,"2007-01-13",914,"128","29","5","6","0","0",,"0","004","F","N",,0,0,,,0,,,,"N",1,"A","-",22350,,"N","C","A","-","A","D","0","Y","L","04",0,0,1,0,0,0,1,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045825",-122.267988919,37.855110714,2007,"0103","0","1","4","03",0,1,"B",,,,,,1800,1,"C","C","A","RT 13","SHATTUCK AV",200,"W","N","2007-05-31",103,"2007-01-29",1645,"115","35","5","6","0","0",,"0","010","-","Y","ALA",4,13,"-","-",12.1,"H","-","S","N",2,"A","-",22350,,"F","A","H","-","A","A","0","Y","D",,0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045826",-122.252784533,37.8707351685,2007,"0103","0","6","4","08",0,1,"A",,"Y",,,,2100,1,"H","G","A","PIEDMONT AV","BANCROFT WY",434,"N","N","2007-05-17",103,"2007-01-20",2000,"23","27","5","6","0","0",,"0","007","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"N","A","H","-","C","D","0","Y","L","04",0,0,1,0,0,0,1,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045827",-122.241772992,37.857254775,2007,"0103","0","6","4","04",0,1,"A",,,,,,1500,1,"C","C","A","TUNNEL RD","RIDGE RD",272,"W","N","2007-05-31",103,"2007-01-13",1200,"47","37","5","6","0","0",,"0","008","-","Y","ALA",4,13,"-","-",10.59,"H","-","S","N",2,"A","-",21703,,"N","A","H","-","A","A","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045828",-122.298183156,37.8693351746,2007,"0103","0","5","3","09",0,1,"A",,,"Y",,,2100,1,"D","C","A","6TH ST","HEARST AV",0,,"Y","2007-05-17",103,"2007-01-05",1912,"31","20","5","6","0","0",,"0","110","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","F","A","H","-","C","A","0","Y","A",,0,1,0,0,0,0,0,0,1,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3045833",-122.259233149,37.8595466614,2007,"0103","0","1","3","08",0,1,"A",,"Y",,,,1800,1,"D","G","A","TELEGRAPH AV","STUART ST",0,,"Y","2007-05-17",103,"2007-01-29",1645,"54","39","5","6","0","0",,"0","009","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"F","A","H","-","A","A","0","Y","A","01",0,1,0,0,0,0,1,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
