HRR,HRR_BDY_I,State,pc_psa,incidence,prostatectomy,radiation,hormone,no_treat
Indianapolis,97,IN,25.8,6.8,175.5,362.2,324.8,274.7
Lafayette,98,IN,18.9,16.6,286.8,258.3,306.9,392.0
Muncie,99,IN,39.2,8.0,,,426.3,350.2
Munster,100,IN,25.5,12.7,479.5,300.5,345.5,247.8
South Bend,101,IN,35.7,5.7,208.0,167.1,452.6,281.3
Terre Haute,102,IN,41.5,8.5,278.7,364.6,451.7,
Cedar Rapids,103,IA,26.8,1.9,,,,
Davenport,104,IA,37.5,3.8,,,584.8,300.6
Des Moines,105,IA,23.2,6.2,245.4,231.4,477.9,221.2
Dubuque,106,IA,46.9,4.1,,,,
Iowa City,107,IA,23.2,7.9,336.0,209.4,387.8,346.8
Mason City,108,IA,5.8,25.9,107.9,375.3,461.3,150.6
Sioux City,109,IA,32.9,21.9,285.8,228.2,497.2,224.1
Waterloo,110,IA,11.0,6.5,,,,
Topeka,111,KS,37.4,10.2,226.4,244.7,472.6,261.5
Wichita,112,KS,36.1,9.6,225.4,198.3,590.5,181.1
Covington,113,KY,13.1,2.6,,,,
Lexington,114,KY,31.5,4.2,130.8,295.9,414.9,272.3
Louisville,115,KY,36.5,11.9,116.8,409.7,320.9,236.5
Owensboro,116,KY,52.7,14.2,303.5,339.4,410.5,
Paducah,117,KY,38.4,6.8,236.1,220.0,462.1,222.6
Alexandria,118,LA,33.4,8.3,238.2,315.9,417.1,
Baton Rouge,119,LA,40.6,3.4,201.9,,533.0,
Houma,120,LA,35.4,12.2,178.4,258.3,500.6,241.4
Lafayette,121,LA,30.9,4.8,,258.7,523.2,215.1
Lake Charles,122,LA,32.7,6.9,187.9,,451.3,423.5
Metairie,123,LA,24.3,7.2,233.1,334.0,427.9,
Monroe,124,LA,33.5,7.5,152.9,,494.2,
New Orleans,125,LA,31.8,7.1,215.6,,470.7,
Shreveport,126,LA,30.5,2.8,,318.9,313.3,341.5
Slidell,127,LA,20.2,7.7,320.3,,574.4,
Bangor,128,ME,16.1,8.4,274.2,180.9,513.8,221.6
Portland,129,ME,12.3,8.7,244.1,229.8,384.4,335.6
Baltimore,130,MD,39.3,8.2,127.5,211.2,314.6,446.7
Salisbury,131,MD,21.7,7.1,126.9,198.3,301.1,488.0
Takoma Park,132,MD,48.7,6.3,103.9,263.2,280.4,423.2
Boston,133,MA,21.1,5.8,102.9,246.2,244.5,484.8
Springfield,134,MA,15.1,5.7,124.8,,275.5,581.3
Worcester,135,MA,11.2,5.6,142.2,,380.0,445.0
Ann Arbor,136,MI,15.5,10.3,189.7,274.2,360.1,334.6
Dearborn,137,MI,24.7,10.2,198.3,175.4,352.7,398.4
Detroit,138,MI,26.6,8.2,144.7,239.7,320.7,399.9
Flint,139,MI,37.8,7.2,212.5,270.0,352.0,299.3
Grand Rapids,140,MI,19.1,6.1,284.7,203.4,376.8,352.6
Kalamazoo,141,MI,16.8,4.1,255.9,244.0,311.5,400.1
Lansing,142,MI,12.2,6.2,372.1,216.5,270.7,346.6
Marquette,143,MI,9.5,15.7,352.9,,569.2,242.4
Muskegon,144,MI,8.6,11.5,328.3,,465.5,357.4
Petoskey,145,MI,19.7,10.0,,286.6,530.7,
Pontiac,146,MI,35.6,8.4,,282.3,264.8,390.4
Royal Oak,147,MI,37.6,11.8,133.7,277.0,287.8,388.1
Saginaw,148,MI,15.2,6.2,282.2,257.1,337.0,356.5
St. Joseph,149,MI,14.2,7.2,264.8,,,
Traverse City,150,MI,24.4,10.7,155.9,306.8,213.0,423.3
Duluth,151,MN,13.8,11.8,277.7,231.0,459.3,256.0
Minneapolis,152,MN,25.6,11.7,346.7,241.6,431.4,273.8
Rochester,153,MN,28.7,16.6,257.3,323.7,452.4,179.8
St. Cloud,154,MN,31.7,10.8,385.9,,381.5,352.0
St. Paul,155,MN,19.5,12.6,284.6,128.6,354.6,403.4
Gulfport,156,MS,12.4,17.3,402.3,,443.8,299.1
Hattiesburg,157,MS,47.0,3.7,,,,
Jackson,158,MS,35.1,6.6,254.6,211.4,403.4,330.5
Meridian,159,MS,44.5,11.9,459.1,,409.6,394.3
Oxford,160,MS,42.1,12.0,,,425.8,313.8
Tupelo,161,MS,39.1,8.7,185.2,125.5,362.4,454.2
Cape Girardeau,162,MO,29.2,5.3,279.5,,477.8,285.9
Columbia,163,MO,32.7,5.4,169.0,232.2,326.7,415.1
Joplin,164,MO,24.0,5.8,180.9,330.0,317.4,296.8
Kansas City,165,MO,37.9,5.9,217.9,257.7,350.8,363.9
Springfield,166,MO,37.3,3.0,163.5,194.8,380.2,410.6
St. Louis,167,MO,33.9,6.6,226.7,237.2,387.8,336.7
Billings,168,MT,10.6,13.2,350.3,300.7,261.4,371.1
Great Falls,169,MT,35.9,6.1,,,,
Missoula,170,MT,31.4,10.5,225.4,282.9,228.1,465.1
Lincoln,171,NE,41.6,3.0,287.7,252.8,450.5,255.8
Omaha,172,NE,25.2,6.3,400.8,151.5,508.3,258.2
Las Vegas,173,NV,40.8,4.8,137.2,185.4,352.2,411.6
Reno,174,NV,22.4,6.2,136.2,245.0,331.7,400.6
Lebanon,175,NH,3.6,9.2,245.0,256.2,438.9,294.7
Manchester,176,NH,11.4,11.1,302.3,297.8,233.0,416.9
Camden,177,NJ,44.0,6.2,119.9,282.8,314.6,387.1
Hackensack,178,NJ,52.8,6.2,86.2,241.6,349.1,367.0
Morristown,179,NJ,47.5,5.9,141.0,161.6,323.7,485.4
New Brunswick,180,NJ,48.8,6.4,119.5,190.3,317.7,476.3
Newark,181,NJ,47.9,5.6,96.4,250.4,385.1,349.7
Paterson,182,NJ,53.7,3.0,,,,
Ridgewood,183,NJ,49.3,5.6,,216.0,348.3,382.5
Albuquerque,184,NM,19.1,6.2,212.0,172.3,292.0,442.8
Albany,185,NY,28.3,4.6,139.9,236.0,313.0,421.3
Binghamton,186,NY,7.2,7.9,134.1,284.0,446.7,206.6
Bronx,187,NY,41.8,6.2,133.5,254.3,392.6,331.3
Buffalo,188,NY,26.4,8.1,119.1,357.1,352.3,278.1
Elmira,189,NY,32.6,3.4,,,390.3,
East Long Island,190,NY,52.9,5.2,120.3,206.7,387.7,375.3
Manhattan,191,NY,51.5,7.3,133.7,223.5,268.1,446.9
Rochester,192,NY,12.7,5.9,253.5,320.6,226.7,440.7
Syracuse,193,NY,38.7,8.6,100.8,379.9,226.3,375.1
White Plains,194,NY,41.8,6.4,186.3,243.5,399.2,299.9
Asheville,195,NC,36.1,6.9,139.6,174.7,346.0,432.2
Charlotte,196,NC,38.5,6.6,111.6,193.2,372.3,419.5
Durham,197,NC,43.4,5.4,171.3,268.4,290.8,425.4
Greensboro,198,NC,46.2,7.6,,264.9,235.4,485.8
Greenville,199,NC,47.3,6.3,145.6,114.0,416.6,438.3
Hickory,200,NC,40.7,4.0,,,,478.7
Raleigh,201,NC,49.2,5.3,155.6,184.3,307.4,484.3
Wilmington,202,NC,55.8,4.1,,374.4,,399.4
Winston-Salem,203,NC,39.4,5.8,143.1,179.4,367.7,424.5
Bismarck,204,ND,24.8,10.4,233.7,243.2,583.7,
Fargo/Moorhead MN,205,ND,34.9,24.8,284.3,320.0,437.0,232.4
Grand Forks,206,ND,10.9,18.8,197.3,240.8,449.6,270.8
Minot,207,ND,7.2,24.7,265.4,322.3,363.4,221.3
Akron,208,OH,19.1,6.7,,349.4,404.3,231.7
Canton,209,OH,19.3,7.9,,263.6,387.3,349.8
Cincinnati,210,OH,31.0,8.6,161.3,235.3,472.2,219.9
Cleveland,211,OH,20.7,13.4,159.7,331.0,388.4,245.0
Columbus,212,OH,23.7,4.7,144.5,207.5,527.8,239.8
Dayton,213,OH,28.6,4.2,176.2,256.3,438.8,292.6
Elyria,214,OH,15.6,9.6,159.4,,400.2,400.0
Kettering,215,OH,40.1,5.2,,,354.8,
Toledo,216,OH,18.7,13.9,167.5,220.3,507.1,253.1
