iso3c,year,gdp_percap
AGO,2010.0,6360.84898012934
ARG,2012.0,19686.6091339069
ARG,2009.0,16656.5194492696
ARG,1993.0,9709.91154496385
ARG,1994.0,10359.485931443
ARG,2010.0,18414.0863704533
ARG,2011.0,19742.396097348
ARG,1992.0,9076.54904263894
ARG,2005.0,13845.2247850478
ARG,2007.0,16915.4352355326
ARG,2008.0,17770.1775228821
ARG,1996.0,10771.884627609
ARG,1995.0,10146.436214821
ARG,1998.0,12152.4677236507
ARG,1991.0,8037.78923204099
ARG,2006.0,15271.3549720702
ARG,2e3,11829.4840471031
ARG,2003.0,11235.9923548507
ARG,2013.0,20251.9853401078
ARG,1990.0,7002.05059981198
ARG,2004.0,12451.1310990134
ARG,2002.0,10234.0568615494
ARG,2015.0,20364.3822053199
ARG,2001.0,11437.8308818918
ARG,1997.0,11707.9711929146
ARG,1999.0,11788.510195469
ARG,2014.0,19880.7048226267
ASM,1997.0,
ASM,1998.0,
ASM,2015.0,
ASM,2007.0,
ASM,2008.0,
ASM,1996.0,
ASM,1993.0,
ASM,2006.0,
ASM,2013.0,
ASM,1994.0,
ASM,1999.0,
ASM,2005.0,
ASM,2010.0,
ASM,2009.0,
ASM,1992.0,
ASM,2004.0,
ASM,2012.0,
ASM,1991.0,
ASM,2002.0,
ASM,2e3,
ASM,2014.0,
ASM,2003.0,
ASM,1995.0,
ASM,1990.0,
ASM,2001.0,
ASM,2011.0,
AUT,1992.0,21196.2661572431
AUT,1990.0,19394.2337451815
AUT,2004.0,33649.4133507071
AUT,1991.0,20523.5215739213
AUT,2003.0,31987.2205727444
AUT,2007.0,39150.8772830426
AUT,1993.0,21635.7507111965
AUT,1994.0,22540.043350281
AUT,2002.0,31119.209993289
AUT,2005.0,34866.8404371477
AUT,2010.0,41906.7295926896
AUT,2011.0,44237.9603165389
AUT,2006.0,37455.5102148912
AUT,2014.0,48658.9800853565
AUT,2e3,29301.086978103
AUT,1995.0,23587.9384875868
AUT,2001.0,29725.4273319126
AUT,2015.0,49429.5555464607
AUT,1999.0,27547.9455353954
AUT,2013.0,47764.8231225209
AUT,2008.0,41058.6305391381
AUT,1998.0,26577.1066343715
AUT,2012.0,46233.3962433905
AUT,1996.0,24475.6212256096
AUT,2009.0,40704.4097144008
AUT,1997.0,25350.5991044428
AUS,2008.0,37479.2891201982
AUS,1991.0,17803.0416147267
AUS,2009.0,40256.051268311
AUS,2007.0,36565.5184663837
AUS,1995.0,20979.9699040187
AUS,1992.0,18207.9750652237
AUS,1993.0,19157.964957298
AUS,1997.0,22992.9406556154
AUS,2014.0,46298.6871835483
AUS,1996.0,22048.773918215
AUS,2006.0,34324.9717257015
AUS,2e3,26374.7157523647
AUS,1998.0,24216.7334319332
AUS,1990.0,17347.494940429
AUS,1994.0,20087.9475195383
AUS,2013.0,45574.6328338606
AUS,2011.0,41763.118511715
AUS,2010.0,39169.5599762226
AUS,2003.0,29691.5345836535
AUS,1999.0,25268.5198066101
AUS,2002.0,28685.30613792
AUS,2012.0,42596.2941186879
AUS,2015.0,46270.7993394433
AUS,2004.0,31312.7929881068
AUS,2001.0,27399.1779868808
AUS,2005.0,32559.4592872484
ABW,1990.0,
ABW,1992.0,
ABW,1994.0,
ABW,2006.0,
ABW,2003.0,
ABW,1993.0,
ABW,2005.0,
ABW,2007.0,
ABW,1996.0,
ABW,2004.0,
ABW,2008.0,
ABW,1998.0,
ABW,1999.0,
ABW,2002.0,
ABW,1991.0,
ABW,2001.0,
ABW,2013.0,
ABW,1995.0,
ABW,2010.0,
ABW,2e3,
ABW,2015.0,
ABW,2009.0,
ABW,1997.0,
ABW,2012.0,
ABW,2014.0,
ABW,2011.0,36015.070459561
AZE,1999.0,3136.09389310516
AZE,1997.0,2634.15863088586
AZE,2009.0,14900.5086642522
AZE,2013.0,17171.7613655508
AZE,1996.0,2471.58587927039
AZE,1998.0,2901.35167222536
AZE,2010.0,15627.6056198817
AZE,2008.0,13799.7861400733
AZE,2014.0,17607.6228933646
AZE,1995.0,2420.44486439699
AZE,2e3,3534.32914766215
AZE,2007.0,12477.3846859443
AZE,2006.0,9830.16260573868
AZE,1994.0,2719.34022718708
AZE,2011.0,15754.1523626148
AZE,2015.0,17779.7737640128
AZE,1990.0,5502.43398864152
