"sch_code","county","pub_priv","district","school","enrollment","complete","start_year"
6017685,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","IVANHOE ELEMENTARY",62,49,2015
106351,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","IVY ACADEMIA",69,48,2015
122168,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","JAIME ESCALANTE ELEMENTARY",114,113,2015
6018196,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","JOHN B. MONLUX ELEMENTARY",117,111,2015
109355,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","JOHN W. MACK ELEMENTARY",98,50,2015
122176,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","JUDITH F. BACA ARTS ACADEMY",126,120,2015
122192,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","JULIE KORENSTEIN ELEMENTARY",101,101,2015
6017693,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","JUSTICE STREET ACADEMY CHARTER",89,84,2015
6017701,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KENTER CANYON CHARTER",,,2015
6017719,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KENTWOOD ELEMENTARY",63,42,2015
6017727,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KESTER AVENUE ELEMENTARY",194,179,2015
109405,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KINGSLEY ELEMENTARY",88,70,2015
121707,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KIPP COMIENZA COMMUNITY PREP",120,120,2015
121699,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KIPP EMPOWER ACADEMY",144,141,2015
127670,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KIPP ILUMINAR ACADEMY",114,114,2015
117903,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KIPP RAICES ACADEMY",115,115,2015
129460,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KIPP VIDA PREPARATORY ACADEMY",122,122,2015
6017735,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KITTRIDGE STREET ELEMENTARY",133,131,2015
6017743,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","KNOLLWOOD PREPARATORY ACADEMY",75,68,2015
6017750,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LA SALLE AVENUE ELEMENTARY",91,37,2015
6119093,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LAFAYETTE PARK PRIMARY CENTER",112,100,2015
109199,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LAKE STREET PRIMARY",128,114,2015
6017768,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LANAI ROAD ELEMENTARY",112,108,2015
6017776,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LANGDON AVENUE ELEMENTARY",131,111,2015
6017784,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LANKERSHIM ELEMENTARY",83,76,2015
108928,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LARCHMONT CHARTER",113,104,2015
128025,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LASHON ACADEMY",82,80,2015
6017792,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LASSEN ELEMENTARY",97,97,2015
6017800,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LATONA AVENUE ELEMENTARY",38,11,2015
6017818,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LAUREL ELEMENTARY",36,27,2015
6017826,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LEAPWOOD AVENUE ELEMENTARY",54,48,2015
6017834,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LELAND STREET ELEMENTARY",,,2015
6017842,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LEMAY STREET ELEMENTARY",77,75,2015
6019483,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LENICIA B. WEEMES ELEMENTARY",104,54,2015
6110266,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LEO POLITI ELEMENTARY",,,2015
109264,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LEXINGTON AVENUE PRIMARY CENTER",37,37,2015
6017859,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LIBERTY BOULEVARD ELEMENTARY",108,97,2015
6017867,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LIGGETT STREET ELEMENTARY",166,163,2015
6017875,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LILLIAN STREET ELEMENTARY",89,88,2015
6017883,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LIMERICK AVENUE ELEMENTARY",164,159,2015
6017891,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOCKHURST DRIVE CHARTER ELEMENTARY",105,101,2015
6017909,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOCKWOOD AVENUE ELEMENTARY",46,42,2015
6017917,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOGAN STREET ELEMENTARY",47,47,2015
6017925,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOMA VISTA ELEMENTARY",148,147,2015
6017933,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOMITA MATH SCIENCE TECHNOLOGY MAGNET",97,80,2015
6066278,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOREN MILLER ELEMENTARY",148,141,2015
6017941,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LORENA STREET ELEMENTARY",86,86,2015
6017958,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LORETO STREET ELEMENTARY",77,74,2015
6017966,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LORNE STREET ELEMENTARY",90,82,2015
6111512,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS ANGELES ELEMENTARY",113,109,2015
124818,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS ANGELES LEADERSHIP PRIMARY ACADEMY",70,70,2015
112235,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS FELIZ CHARTER SCHOOL FOR THE ARTS",114,72,2015
6017974,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOS FELIZ SCIENCE TECH ENGINEER MATH MEDICINE MAGNET",46,46,2015
117945,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOU DANTZLER PREPARATORY CHARTER ELEMENTARY",,,2015
6018485,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOVELIA P. FLOURNOY ELEMENTARY",,,2015
6017982,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LOYOLA VILLAGE ELEMENTARY",31,11,2015
126391,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","LUCILLE ROYBAL-ALLARD ELEMENTARY",104,103,2015
6120810,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MACARTHUR PARK ELEMENTARY SCHOOL FOR THE VISUAL AND PERFORMING ARTS",94,73,2015
109413,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MADISON ELEMENTARY",111,103,2015
6017990,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MAGNOLIA AVENUE ELEMENTARY",195,187,2015
117655,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MAGNOLIA SCIENCE ACADEMY 7",25,23,2015
6018006,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MAIN STREET ELEMENTARY",163,155,2015
6018014,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MALABAR STREET ELEMENTARY",86,81,2015
6018030,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MANHATTAN PLACE ELEMENTARY",76,20,2015
106922,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MAPLE PRIMARY CENTER",118,72,2015
6018048,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MAR VISTA ELEMENTARY",129,118,2015
126417,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MARGUERITE POINDEXTER LAMOTTE ELEMENTARY",80,61,2015
6018055,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MARIANNA AVENUE ELEMENTARY",60,53,2015
109256,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MARIPOSA-NABI PRIMARY CENTER",79,79,2015
6060529,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MARLTON",25,21,2015
6018063,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MARQUEZ CHARTER",117,34,2015
109207,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MARTHA ESCUTIA PRIMARY CENTER",264,249,2015
6019061,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MARTIN LUTHER KING JR. ELEMENTARY",82,64,2015
6018071,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MARVIN ELEMENTARY",171,142,2015
109397,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MAURICE SENDAK ELEMENTARY",100,92,2015
6018089,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MAYALL STREET ELEMENTARY",88,88,2015
6018097,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MAYBERRY STREET ELEMENTARY",65,43,2015
109363,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MAYWOOD ELEMENTARY",93,79,2015
6018105,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MCKINLEY AVENUE ELEMENTARY",128,128,2015
6018113,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MELROSE AVENUE ELEMENTARY",45,41,2015
6018121,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MELVIN AVENUE ELEMENTARY",60,52,2015
6018139,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MENLO AVENUE ELEMENTARY",,,2015
127977,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","METRO CHARTER",67,63,2015
6018147,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MEYLER STREET ELEMENTARY",165,93,2015
126441,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MICHELLE OBAMA ELEMENTARY",148,144,2015
6018154,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MICHELTORENA STREET ELEMENTARY",71,67,2015
1931070,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MID-CITY'S PRESCOTT SCHOOL OF ENRICHED SCIENCES",,,2015
109272,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MIDDLETON PRIMARY CENTER",223,214,2015
6018162,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MIDDLETON STREET ELEMENTARY",,,2015
6018170,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MILES AVENUE ELEMENTARY",197,168,2015
6018188,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MIRAMONTE ELEMENTARY",147,118,2015
6018204,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MONTAGUE CHARTER ACADEMY",181,165,2015
6107403,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MONTARA AVENUE ELEMENTARY",128,37,2015
6018220,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MORNINGSIDE ELEMENTARY",98,98,2015
6018881,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MORRIS K. HAMASAKI ELEMENTARY",55,53,2015
6018238,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MOUNTAIN VIEW ELEMENTARY",61,57,2015
6018246,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MT. WASHINGTON ELEMENTARY",82,76,2015
6119044,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MULTICULTURAL LEARNING CENTER",44,41,2015
6018253,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MULTNOMAH STREET ELEMENTARY",57,54,2015
6018261,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","MURCHISON STREET ELEMENTARY",,,2015
102483,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","N.E.W. ACADEMY CANOGA PARK",93,93,2015
100289,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","N.E.W. ACADEMY OF SCIENCE AND ARTS",,,2015
6018279,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NAPA STREET ELEMENTARY",93,89,2015
6018287,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NESTLE AVENUE CHARTER",107,103,2015
6018295,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NEVADA AVENUE ELEMENTARY",73,69,2015
6018303,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NEVIN AVENUE ELEMENTARY",88,88,2015
111211,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NEW HEIGHTS CHARTER",66,61,2015
128371,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NEW HORIZONS CHARTER ACADEMY",,,2015
6018311,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NEWCASTLE ELEMENTARY",50,47,2015
6018337,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NINETY-FIFTH STREET ELEMENTARY",197,193,2015
6018345,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NINETY-NINTH STREET ELEMENTARY",96,83,2015
6018352,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NINETY-SECOND STREET ELEMENTARY",99,88,2015
6018378,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NINETY-SIXTH STREET ELEMENTARY",145,105,2015
6018386,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NINETY-THIRD STREET ELEMENTARY",207,196,2015
6104814,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NINTH STREET ELEMENTARY",77,75,2015
6018394,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NOBLE AVENUE ELEMENTARY",181,162,2015
6018402,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NORA STERRY ELEMENTARY",69,48,2015
6018410,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NORMANDIE AVENUE ELEMENTARY",164,122,2015
6018428,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NORMONT ELEMENTARY",57,50,2015
6018436,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NORWOOD STREET ELEMENTARY",106,89,2015
6110274,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","NUEVA VISTA ELEMENTARY",188,182,2015
102335,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","OCEAN CHARTER",71,30,2015
109181,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","OLYMPIC PRIMARY CENTER",172,167,2015
6018444,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","O'MELVENY ELEMENTARY",102,102,2015
6018469,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED EIGHTEENTH STREET",124,122,2015
6018477,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED EIGHTY-SIXTH STREET ELEMENTARY",135,70,2015
6018493,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED FIFTY-SIXTH STREET ELEMENTARY",42,40,2015
6018501,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED FIFTY-THIRD STREET",87,64,2015
6018519,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED NINTH STREET ELEMENTARY",95,56,2015
6018535,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED SEVENTH STREET ELEMENTARY",175,137,2015
6018543,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED SIXTEENTH STREET ELEMENTARY",91,82,2015
6018550,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED THIRTY-FIFTH STREET ELEMENTARY",122,107,2015
6018568,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED TWELFTH STREET ELEMENTARY",92,91,2015
6018576,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ONE HUNDRED TWENTY-SECOND STREET ELEMENTARY",122,119,2015
6097927,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","OPEN CHARTER MAGNET",44,41,2015
6018592,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","OSCEOLA STREET ELEMENTARY",63,63,2015
109934,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","OUR COMMUNITY CHARTER",41,26,2015
6018618,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","OVERLAND AVENUE ELEMENTARY",84,68,2015
6018626,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","OXNARD STREET ELEMENTARY",90,86,2015
109322,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PACIFIC BOULEVARD",94,63,2015
6018642,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PACOIMA CHARTER ELEMENTARY",236,234,2015
6018634,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PALISADES CHARTER ELEMENTARY",82,40,2015
6018659,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PALMS ELEMENTARY",60,49,2015
109389,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PANORAMA CITY ELEMENTARY",91,91,2015
122630,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PARA LOS NINOS - EVELYN THURMAN GRATTS PRIMARY",142,129,2015
6120489,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PARA LOS NINOS CHARTER",65,60,2015
6018667,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PARK AVENUE ELEMENTARY",97,94,2015
6018675,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PARK WESTERN PLACE ELEMENTARY",108,106,2015
6018683,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PARMELEE AVENUE ELEMENTARY",150,128,2015
6018691,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PARTHENIA STREET ELEMENTARY",137,134,2015
6018709,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PASEO DEL REY FUNDAMENTAL",48,32,2015
6018717,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PINEWOOD AVENUE ELEMENTARY",51,44,2015
6018725,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PLAINVIEW ACADEMIC CHARTER ACADEMY",47,45,2015
6018741,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PLAYA DEL REY ELEMENTARY",47,46,2015
126383,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PLAYA VISTA ELEMENTARY",146,97,2015
6018758,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PLUMMER ELEMENTARY",174,167,2015
6018766,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","POINT FERMIN ELEMENTARY",47,46,2015
6018774,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","POMELO COMMUNITY CHARTER",116,109,2015
126607,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PORTER RANCH COMMUNITY",147,146,2015
6018790,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PRESIDENT AVENUE ELEMENTARY",57,53,2015
6116842,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PRIMARY ACADEMY FOR SUCCESS",140,138,2015
129619,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PUC COMMUNITY CHARTER ELEMENTARY",52,35,2015
102426,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PUC MILAGRO CHARTER",47,46,2015
6120471,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PUENTE CHARTER",,,2015
6018808,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","PURCHE AVENUE ELEMENTARY",77,74,2015
6018816,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","QUEEN ANNE PLACE ELEMENTARY",68,53,2015
122127,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","QUINCY JONES ELEMENTARY",75,69,2015
6018824,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RAMONA ELEMENTARY",74,22,2015
6018832,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RANCHITO AVENUE ELEMENTARY",104,87,2015
6018840,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RAYMOND AVENUE ELEMENTARY",117,32,2015
6018857,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RESEDA ELEMENTARY",90,89,2015
121103,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RFK COMMUNITY SCHOOLS - AMBASSADOR SCHOOL - GLOBAL EDUCATION",72,61,2015
119685,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RFK COMMUNITY SCHOOLS-NEW OPEN WORLD ACADEMY K-12",86,67,2015
119693,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RFK COMMUNITY SCHOOLS-UCLA COMMUNITY K-12",75,60,2015
109330,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RICARDO LIZARRAGA ELEMENTARY",,,2015
101618,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RICHARD RIORDAN PRIMARY CENTER",127,127,2015
6018873,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RICHLAND AVENUE ELEMENTARY",61,45,2015
6018907,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RIO VISTA ELEMENTARY",90,82,2015
6018915,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RITTER ELEMENTARY",78,71,2015
6018923,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RIVERSIDE DRIVE CHARTER ELEMENTARY",138,107,2015
6071443,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ROBERT F. KENNEDY ELEMENTARY",41,38,2015
6018931,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ROBERT HILL LANE ELEMENTARY",64,41,2015
6018949,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ROCKDALE VISUAL & PERFORMING ARTS MAGNET",34,33,2015
109371,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ROSA PARKS LEARNING CENTER",131,125,2015
6018956,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ROSCOE ELEMENTARY",101,86,2015
6018964,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ROSCOMARE ROAD ELEMENTARY",88,47,2015
6018980,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ROSEWOOD AVENUE ELEMENTARY",64,55,2015
6018998,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","ROWAN AVENUE ELEMENTARY",130,129,2015
6019004,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","RUSSELL ELEMENTARY",148,119,2015
126375,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SALLY RIDE ELEMENTARY: A SMART ACADEMY",94,91,2015
6112411,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SAN ANTONIO ELEMENTARY",96,76,2015
6019012,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SAN FERNANDO ELEMENTARY",98,82,2015
6019020,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SAN GABRIEL AVENUE ELEMENTARY",120,116,2015
6019038,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SAN JOSE STREET ELEMENTARY",110,109,2015
6108641,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SAN MIGUEL ELEMENTARY",194,180,2015
6019046,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SAN PASCUAL AVENUE ELEMENTARY",55,43,2015
6019053,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SAN PEDRO STREET ELEMENTARY",123,121,2015
6019079,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SANTA MONICA BOULEVARD COMMUNITY CHARTER",174,146,2015
6110951,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SARA COUGHLIN ELEMENTARY",133,131,2015
6019087,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SATICOY ELEMENTARY",107,105,2015
6066286,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SATURN STREET ELEMENTARY",89,62,2015
6019095,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SECOND STREET ELEMENTARY",68,67,2015
6019103,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SELMA AVENUE ELEMENTARY",26,25,2015
6019111,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SERRANIA AVENUE CHARTER FOR ENRICHED STUDIES",144,131,2015
6019129,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SEVENTH STREET ELEMENTARY",115,111,2015
6019137,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SEVENTY-FIFTH STREET ELEMENTARY",190,130,2015
6019145,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SEVENTY-FOURTH STREET ELEMENTARY",89,55,2015
6019152,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SHARP AVENUE ELEMENTARY",145,139,2015
6019160,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SHENANDOAH STREET ELEMENTARY",108,106,2015
6019178,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SHERIDAN STREET ELEMENTARY",143,120,2015
6019186,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SHERMAN OAKS ELEMENTARY CHARTER",155,139,2015
6019194,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SHIRLEY AVENUE ELEMENTARY",97,91,2015
6019202,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SHORT AVENUE ELEMENTARY",44,30,2015
6019210,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SIERRA PARK ELEMENTARY",62,56,2015
6019228,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SIERRA VISTA ELEMENTARY",48,47,2015
6019236,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SIXTH AVENUE ELEMENTARY",120,59,2015
6019244,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SIXTY-EIGHTH STREET ELEMENTARY",171,108,2015
6019251,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SIXTY-FIRST STREET ELEMENTARY",97,12,2015
6019269,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SIXTY-SIXTH STREET ELEMENTARY",147,145,2015
6019277,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SOLANO AVENUE ELEMENTARY",25,23,2015
6019285,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SOTO STREET ELEMENTARY",26,26,2015
6019293,"LOS ANGELES","PUBLIC","LOS ANGELES UNIFIED","SOUTH PARK ELEMENTARY",172,172,2015
