"sch_code","county","pub_priv","district","school","enrollment","complete","start_year"
6089320,"ALAMEDA","PUBLIC","FREMONT UNIFIED","BROOKVALE ELEMENTARY",177,171,2015
6000566,"ALAMEDA","PUBLIC","FREMONT UNIFIED","CABRILLO ELEMENTARY",71,71,2015
6000590,"ALAMEDA","PUBLIC","FREMONT UNIFIED","E. M. GRIMMER ELEMENTARY",101,98,2015
6111330,"ALAMEDA","PUBLIC","FREMONT UNIFIED","FOREST PARK ELEMENTARY",141,140,2015
6106983,"ALAMEDA","PUBLIC","FREMONT UNIFIED","FRED E. WEIBEL ELEMENTARY",142,136,2015
6000624,"ALAMEDA","PUBLIC","FREMONT UNIFIED","GLENMOOR ELEMENTARY",101,100,2015
6000640,"ALAMEDA","PUBLIC","FREMONT UNIFIED","HARVEY GREEN ELEMENTARY",72,71,2015
6000665,"ALAMEDA","PUBLIC","FREMONT UNIFIED","J. HALEY DURHAM ELEMENTARY",168,162,2015
6000673,"ALAMEDA","PUBLIC","FREMONT UNIFIED","JAMES LEITCH ELEMENTARY",270,268,2015
6000541,"ALAMEDA","PUBLIC","FREMONT UNIFIED","JOHN BLACOW ELEMENTARY",102,101,2015
6000723,"ALAMEDA","PUBLIC","FREMONT UNIFIED","JOHN G. MATTOS ELEMENTARY",75,74,2015
6066468,"ALAMEDA","PUBLIC","FREMONT UNIFIED","JOHN GOMES ELEMENTARY",146,142,2015
6000681,"ALAMEDA","PUBLIC","FREMONT UNIFIED","JOSEPH AZEVADA ELEMENTARY",100,99,2015
6090526,"ALAMEDA","PUBLIC","FREMONT UNIFIED","JOSHUA CHADBOURNE ELEMENTARY",72,71,2015
6090534,"ALAMEDA","PUBLIC","FREMONT UNIFIED","MISSION SAN JOSE ELEMENTARY",96,95,2015
6000749,"ALAMEDA","PUBLIC","FREMONT UNIFIED","MISSION VALLEY ELEMENTARY",72,69,2015
6000756,"ALAMEDA","PUBLIC","FREMONT UNIFIED","NILES ELEMENTARY",48,48,2015
6000764,"ALAMEDA","PUBLIC","FREMONT UNIFIED","O. N. HIRSCH ELEMENTARY",53,53,2015
6090542,"ALAMEDA","PUBLIC","FREMONT UNIFIED","OLIVEIRA ELEMENTARY",100,97,2015
6000798,"ALAMEDA","PUBLIC","FREMONT UNIFIED","PARKMONT ELEMENTARY",168,165,2015
6000806,"ALAMEDA","PUBLIC","FREMONT UNIFIED","PATTERSON ELEMENTARY",98,97,2015
6090559,"ALAMEDA","PUBLIC","FREMONT UNIFIED","STEVEN MILLARD ELEMENTARY",84,83,2015
6000715,"ALAMEDA","PUBLIC","FREMONT UNIFIED","TOM MALONEY ELEMENTARY",111,108,2015
6000830,"ALAMEDA","PUBLIC","FREMONT UNIFIED","VALLEJO MILL ELEMENTARY",96,95,2015
6089619,"ALAMEDA","PUBLIC","FREMONT UNIFIED","WARWICK ELEMENTARY",144,143,2015
6000889,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","BOWMAN ELEMENTARY",45,43,2015
6000905,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","BURBANK ELEMENTARY",172,160,2015
6000913,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","CHERRYLAND ELEMENTARY",116,106,2015
6000921,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","EAST AVENUE ELEMENTARY",90,81,2015
6090583,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","EDEN GARDENS ELEMENTARY",63,61,2015
6000947,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","ELDRIDGE ELEMENTARY",39,39,2015
6000962,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","FAIRVIEW ELEMENTARY",110,107,2015
6113815,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","FAITH RINGGOLD SCHOOL OF ARTS AND SCIENCE",10,10,2015
6000988,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","GLASSBROOK ELEMENTARY",96,91,2015
6000996,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","HARDER ELEMENTARY",99,95,2015
131334,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","HIGHLAND",,,2015
127696,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","KNOWLEDGE ENLIGHTENS YOU -KEY- ACADEMY",69,68,2015
6001044,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","LONGWOOD ELEMENTARY",130,123,2015
6001051,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","LORIN A. EDEN ELEMENTARY",57,57,2015
6001093,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","PALMA CEIA ELEMENTARY",82,82,2015
6001101,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","PARK ELEMENTARY",115,106,2015
6001127,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","RUUS ELEMENTARY",97,97,2015
6001135,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","SCHAFER PARK ELEMENTARY",123,121,2015
6001176,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","SOUTHGATE ELEMENTARY",118,116,2015
111815,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","STONEBRAE ELEMENTARY",111,106,2015
6062160,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","STROBRIDGE ELEMENTARY",72,70,2015
6001192,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","TREEVIEW ELEMENTARY",69,67,2015
6104566,"ALAMEDA","PUBLIC","HAYWARD UNIFIED","TYRRELL ELEMENTARY",88,88,2015
6117543,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","ALTAMONT CREEK ELEMENTARY",118,115,2015
6071906,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","ARROYO SECO ELEMENTARY",124,123,2015
6001259,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","EMMA C. SMITH ELEMENTARY",121,118,2015
6001283,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","JACKSON AVENUE ELEMENTARY",88,86,2015
6001291,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","JOE MICHELL",95,94,2015
6001234,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","JUNCTION K-8",75,75,2015
6110332,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","LEO R. CROCE ELEMENTARY",119,114,2015
107839,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","LIVERMORE VALLEY CHARTER",144,129,2015
6001317,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","MARYLIN AVENUE ELEMENTARY",109,106,2015
6089338,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","RANCHO LAS POSITAS ELEMENTARY",121,118,2015
6097661,"ALAMEDA","PUBLIC","LIVERMORE VALLEY JOINT UNIFIED","SUNSET ELEMENTARY",115,109,2015
6001572,"ALAMEDA","PUBLIC","NEW HAVEN UNIFIED","ALVARADO ELEMENTARY",134,133,2015
6118525,"ALAMEDA","PUBLIC","NEW HAVEN UNIFIED","DELAINE EASTIN ELEMENTARY",152,151,2015
6115554,"ALAMEDA","PUBLIC","NEW HAVEN UNIFIED","GUY JR. EMANUELE ELEMENTARY",108,107,2015
6001606,"ALAMEDA","PUBLIC","NEW HAVEN UNIFIED","HILLVIEW CREST ELEMENTARY",120,120,2015
6101604,"ALAMEDA","PUBLIC","NEW HAVEN UNIFIED","PIONEER ELEMENTARY",162,162,2015
6001622,"ALAMEDA","PUBLIC","NEW HAVEN UNIFIED","SEARLES ELEMENTARY",151,151,2015
6115505,"ALAMEDA","PUBLIC","NEW HAVEN UNIFIED","TOM KITAYAMA ELEMENTARY",151,150,2015
6001440,"ALAMEDA","PUBLIC","NEWARK UNIFIED","AUGUST SCHILLING ELEMENTARY",57,56,2015
130484,"ALAMEDA","PUBLIC","NEWARK UNIFIED","CROSSROADS HIGH -ALTERNATIVE-",,,2015
6001457,"ALAMEDA","PUBLIC","NEWARK UNIFIED","E. L. MUSICK ELEMENTARY",66,66,2015
