district,sch_code,county,pub_priv,school,enrollment,complete,start_year
LONG BEACH UNIFIED,6015242,LOS ANGELES,PUBLIC,CARVER ELEMENTARY,108,100,2015
LONG BEACH UNIFIED,0107458,LOS ANGELES,PUBLIC,CHAVEZ ELEMENTARY,88,83,2015
LONG BEACH UNIFIED,6015259,LOS ANGELES,PUBLIC,CLEVELAND ELEMENTARY,89,83,2015
LONG BEACH UNIFIED,6015267,LOS ANGELES,PUBLIC,CUBBERLEY K-8,117,111,2015
LONG BEACH UNIFIED,0114603,LOS ANGELES,PUBLIC,DOOLEY ELEMENTARY,181,177,2015
LONG BEACH UNIFIED,6015275,LOS ANGELES,PUBLIC,EDISON ELEMENTARY,155,146,2015
LONG BEACH UNIFIED,6015283,LOS ANGELES,PUBLIC,EMERSON PARKSIDE ACADEMY,67,66,2015
LONG BEACH UNIFIED,6015309,LOS ANGELES,PUBLIC,FREMONT ELEMENTARY,90,81,2015
LONG BEACH UNIFIED,6015317,LOS ANGELES,PUBLIC,GANT ELEMENTARY,111,91,2015
LONG BEACH UNIFIED,6015325,LOS ANGELES,PUBLIC,GARFIELD ELEMENTARY,154,134,2015
LONG BEACH UNIFIED,6015333,LOS ANGELES,PUBLIC,GOMPERS K-8,63,63,2015
LONG BEACH UNIFIED,6015341,LOS ANGELES,PUBLIC,GRANT ELEMENTARY,212,209,2015
LONG BEACH UNIFIED,6015358,LOS ANGELES,PUBLIC,HARTE ELEMENTARY,174,171,2015
LONG BEACH UNIFIED,6015366,LOS ANGELES,PUBLIC,HENRY K-8,176,139,2015
LONG BEACH UNIFIED,6015374,LOS ANGELES,PUBLIC,HOLMES ELEMENTARY,90,90,2015
LONG BEACH UNIFIED,6015382,LOS ANGELES,PUBLIC,HUDSON K-8,65,52,2015
LONG BEACH UNIFIED,6108013,LOS ANGELES,PUBLIC,INTERNATIONAL ELEMENTARY,158,153,2015
LONG BEACH UNIFIED,6015408,LOS ANGELES,PUBLIC,KETTERING ELEMENTARY,62,60,2015
LONG BEACH UNIFIED,6015416,LOS ANGELES,PUBLIC,KING ELEMENTARY,129,121,2015
LONG BEACH UNIFIED,6015424,LOS ANGELES,PUBLIC,LAFAYETTE ELEMENTARY,196,188,2015
LONG BEACH UNIFIED,6015432,LOS ANGELES,PUBLIC,LEE ELEMENTARY,181,175,2015
LONG BEACH UNIFIED,6015440,LOS ANGELES,PUBLIC,LINCOLN ELEMENTARY,208,208,2015
LONG BEACH UNIFIED,6015457,LOS ANGELES,PUBLIC,LONGFELLOW ELEMENTARY,183,167,2015
LONG BEACH UNIFIED,6015465,LOS ANGELES,PUBLIC,LOS CERRITOS ELEMENTARY,90,84,2015
LONG BEACH UNIFIED,6015473,LOS ANGELES,PUBLIC,LOWELL ELEMENTARY,115,111,2015
LONG BEACH UNIFIED,6015481,LOS ANGELES,PUBLIC,MACARTHUR ELEMENTARY,59,57,2015
LONG BEACH UNIFIED,6015499,LOS ANGELES,PUBLIC,MADISON ELEMENTARY,67,59,2015
LONG BEACH UNIFIED,6015507,LOS ANGELES,PUBLIC,MANN ELEMENTARY,82,71,2015
LONG BEACH UNIFIED,6015515,LOS ANGELES,PUBLIC,MCKINLEY ELEMENTARY,152,147,2015
LONG BEACH UNIFIED,6015531,LOS ANGELES,PUBLIC,MUIR K-8,171,157,2015
LONG BEACH UNIFIED,6015549,LOS ANGELES,PUBLIC,NAPLES ELEMENTARY,80,72,2015
LONG BEACH UNIFIED,6015556,LOS ANGELES,PUBLIC,NEWCOMB ACADEMY,60,59,2015
LONG BEACH UNIFIED,6116933,LOS ANGELES,PUBLIC,POWELL ACADEMY FOR SUCCESS,171,160,2015
LONG BEACH UNIFIED,6015580,LOS ANGELES,PUBLIC,PRISK ELEMENTARY,92,86,2015
LONG BEACH UNIFIED,6015598,LOS ANGELES,PUBLIC,RILEY ELEMENTARY,64,62,2015
LONG BEACH UNIFIED,6112056,LOS ANGELES,PUBLIC,ROBINSON ACADEMY,130,115,2015
LONG BEACH UNIFIED,6015606,LOS ANGELES,PUBLIC,ROOSEVELT ELEMENTARY,182,146,2015
LONG BEACH UNIFIED,6015614,LOS ANGELES,PUBLIC,SIGNAL HILL ELEMENTARY,128,125,2015
LONG BEACH UNIFIED,6015622,LOS ANGELES,PUBLIC,STEVENSON ELEMENTARY,147,143,2015
LONG BEACH UNIFIED,6015648,LOS ANGELES,PUBLIC,TINCHER PREPARATORY,82,80,2015
LONG BEACH UNIFIED,6015663,LOS ANGELES,PUBLIC,TWAIN ELEMENTARY,77,74,2015
LONG BEACH UNIFIED,6107015,LOS ANGELES,PUBLIC,TWO HARBORS ELEMENTARY,,,2015
LONG BEACH UNIFIED,6015671,LOS ANGELES,PUBLIC,WEBSTER ELEMENTARY,140,138,2015
LONG BEACH UNIFIED,6015689,LOS ANGELES,PUBLIC,WHITTIER ELEMENTARY,213,209,2015
LONG BEACH UNIFIED,6015697,LOS ANGELES,PUBLIC,WILLARD ELEMENTARY,118,114,2015
LOS ANGELES CHARTER,0132928,LOS ANGELES,PUBLIC,ANAHUACALMECAC INTERNATIONAL UNIVERSITY PREPARATORY OF NORTH AMERICA,32,24,2015
LOS ANGELES COUNTY OFFICE OF EDUCATION,0109660,LOS ANGELES,PUBLIC,ASPIRE ANTONIO MARIA LUGO ACADEMY,52,50,2015
LOS ANGELES COUNTY OFFICE OF EDUCATION,0124925,LOS ANGELES,PUBLIC,CELERITY SIRIUS CHARTER,90,89,2015
LOS ANGELES COUNTY OFFICE OF EDUCATION,0106880,LOS ANGELES,PUBLIC,JARDIN DE LA INFANCIA,19,18,2015
LOS ANGELES COUNTY OFFICE OF EDUCATION,1995232,LOS ANGELES,PUBLIC,LOS ANGELES COUNTY SPECIAL EDUCATION,37,33,2015
LOS ANGELES COUNTY OFFICE OF EDUCATION,6116883,LOS ANGELES,PUBLIC,ODYSSEY CHARTER,49,43,2015
LOS ANGELES UNIFIED,0120097,LOS ANGELES,PUBLIC,ACADEMIA MODERNA,78,76,2015
LOS ANGELES UNIFIED,6112536,LOS ANGELES,PUBLIC,ACCELERATED,71,71,2015
LOS ANGELES UNIFIED,0100743,LOS ANGELES,PUBLIC,ACCELERATED ELEMENTARY CHARTER,48,48,2015
LOS ANGELES UNIFIED,6015705,LOS ANGELES,PUBLIC,ALBION STREET ELEMENTARY,46,35,2015
LOS ANGELES UNIFIED,6015713,LOS ANGELES,PUBLIC,ALDAMA ELEMENTARY,115,108,2015
LOS ANGELES UNIFIED,6015721,LOS ANGELES,PUBLIC,ALEXANDRIA AVENUE ELEMENTARY,139,116,2015
LOS ANGELES UNIFIED,6015739,LOS ANGELES,PUBLIC,ALLESANDRO ELEMENTARY,55,55,2015
LOS ANGELES UNIFIED,6060545,LOS ANGELES,PUBLIC,ALPHONSO B. PEREZ SPECIAL EDUCATION CENTER,,,2015
LOS ANGELES UNIFIED,0122184,LOS ANGELES,PUBLIC,ALTA CALIFORNIA ELEMENTARY,107,107,2015
LOS ANGELES UNIFIED,6015747,LOS ANGELES,PUBLIC,ALTA LOMA ELEMENTARY,120,62,2015
LOS ANGELES UNIFIED,0109280,LOS ANGELES,PUBLIC,AMANECER PRIMARY CENTER,72,69,2015
LOS ANGELES UNIFIED,6015754,LOS ANGELES,PUBLIC,AMBLER AVENUE ELEMENTARY,72,61,2015
LOS ANGELES UNIFIED,6015762,LOS ANGELES,PUBLIC,AMESTOY ELEMENTARY,144,121,2015
LOS ANGELES UNIFIED,6015770,LOS ANGELES,PUBLIC,ANATOLA AVENUE ELEMENTARY,92,90,2015
LOS ANGELES UNIFIED,6015796,LOS ANGELES,PUBLIC,ANDASOL AVENUE ELEMENTARY,82,74,2015
LOS ANGELES UNIFIED,0122218,LOS ANGELES,PUBLIC,ANDRES AND MARIA CARDENAS ELEMENTARY,95,79,2015
LOS ANGELES UNIFIED,6015804,LOS ANGELES,PUBLIC,ANGELES MESA ELEMENTARY,,,2015
LOS ANGELES UNIFIED,6015812,LOS ANGELES,PUBLIC,ANN STREET ELEMENTARY,21,21,2015
LOS ANGELES UNIFIED,6015820,LOS ANGELES,PUBLIC,ANNALEE AVENUE ELEMENTARY,43,32,2015
LOS ANGELES UNIFIED,6015838,LOS ANGELES,PUBLIC,ANNANDALE ELEMENTARY,32,27,2015
LOS ANGELES UNIFIED,6015846,LOS ANGELES,PUBLIC,APPERSON STREET ELEMENTARY,77,60,2015
LOS ANGELES UNIFIED,0126078,LOS ANGELES,PUBLIC,APPLE ACADEMY CHARTER PUBLIC,57,56,2015
LOS ANGELES UNIFIED,6015853,LOS ANGELES,PUBLIC,ARAGON AVENUE ELEMENTARY,64,63,2015
LOS ANGELES UNIFIED,0121079,LOS ANGELES,PUBLIC,ARARAT CHARTER,26,26,2015
LOS ANGELES UNIFIED,6015861,LOS ANGELES,PUBLIC,ARLINGTON HEIGHTS ELEMENTARY,86,71,2015
LOS ANGELES UNIFIED,6015879,LOS ANGELES,PUBLIC,ARMINTA STREET ELEMENTARY,82,82,2015
LOS ANGELES UNIFIED,1932896,LOS ANGELES,PUBLIC,ARROYO SECO MUSEUM SCIENCE,23,21,2015
LOS ANGELES UNIFIED,0123158,LOS ANGELES,PUBLIC,ARTS IN ACTION COMMUNITY CHARTER,66,66,2015
LOS ANGELES UNIFIED,6015887,LOS ANGELES,PUBLIC,ASCOT AVENUE ELEMENTARY,103,97,2015
LOS ANGELES UNIFIED,0122622,LOS ANGELES,PUBLIC,ASPIRE FIRESTONE ACADEMY,85,85,2015
LOS ANGELES UNIFIED,0122614,LOS ANGELES,PUBLIC,ASPIRE GATEWAY ACADEMY,58,57,2015
LOS ANGELES UNIFIED,0124800,LOS ANGELES,PUBLIC,ASPIRE INSKEEP ACADEMY CHARTER,54,40,2015
LOS ANGELES UNIFIED,0124792,LOS ANGELES,PUBLIC,ASPIRE JUANITA TATE ACADEMY CHARTER,53,53,2015
LOS ANGELES UNIFIED,0114884,LOS ANGELES,PUBLIC,ASPIRE JUNIOR COLLEGIATE ACADEMY,44,44,2015
LOS ANGELES UNIFIED,0124784,LOS ANGELES,PUBLIC,ASPIRE SLAUSON ACADEMY CHARTER,54,54,2015
LOS ANGELES UNIFIED,0120477,LOS ANGELES,PUBLIC,ASPIRE TITAN ACADEMY,52,51,2015
LOS ANGELES UNIFIED,6015895,LOS ANGELES,PUBLIC,ATWATER AVENUE ELEMENTARY,46,41,2015
LOS ANGELES UNIFIED,0109348,LOS ANGELES,PUBLIC,AURORA ELEMENTARY,95,95,2015
LOS ANGELES UNIFIED,6015903,LOS ANGELES,PUBLIC,AVALON GARDENS ELEMENTARY,31,12,2015
LOS ANGELES UNIFIED,6015929,LOS ANGELES,PUBLIC,BALDWIN HILLS ELEMENTARY,58,50,2015
LOS ANGELES UNIFIED,6015945,LOS ANGELES,PUBLIC,BANDINI STREET ELEMENTARY,58,29,2015
LOS ANGELES UNIFIED,6015952,LOS ANGELES,PUBLIC,BARTON HILL ELEMENTARY,139,119,2015
LOS ANGELES UNIFIED,6015960,LOS ANGELES,PUBLIC,BASSETT STREET ELEMENTARY,140,136,2015
LOS ANGELES UNIFIED,6015978,LOS ANGELES,PUBLIC,BEACHY AVENUE ELEMENTARY,102,102,2015
LOS ANGELES UNIFIED,6015986,LOS ANGELES,PUBLIC,BECKFORD CHARTER FOR ENRICHED STUDIES,91,89,2015
LOS ANGELES UNIFIED,6015994,LOS ANGELES,PUBLIC,BEETHOVEN STREET ELEMENTARY,80,69,2015
LOS ANGELES UNIFIED,0106914,LOS ANGELES,PUBLIC,BELLINGHAM ELEMENTARY,113,106,2015
LOS ANGELES UNIFIED,6016018,LOS ANGELES,PUBLIC,BELVEDERE ELEMENTARY,131,130,2015
LOS ANGELES UNIFIED,6069157,LOS ANGELES,PUBLIC,BERENECE CARLSON HOME HOSPITAL,15,14,2015
LOS ANGELES UNIFIED,6016026,LOS ANGELES,PUBLIC,BERTRAND AVENUE ELEMENTARY,78,76,2015
LOS ANGELES UNIFIED,6016638,LOS ANGELES,PUBLIC,BETTY PLASENCIA ELEMENTARY,173,167,2015
LOS ANGELES UNIFIED,6019491,LOS ANGELES,PUBLIC,BIRDIELEE V. BRIGHT ELEMENTARY,127,105,2015
LOS ANGELES UNIFIED,6016034,LOS ANGELES,PUBLIC,BLYTHE STREET ELEMENTARY,103,87,2015
LOS ANGELES UNIFIED,6016042,LOS ANGELES,PUBLIC,BONITA STREET ELEMENTARY,90,30,2015
LOS ANGELES UNIFIED,6016059,LOS ANGELES,PUBLIC,BRADDOCK DRIVE ELEMENTARY,47,47,2015
LOS ANGELES UNIFIED,6016067,LOS ANGELES,PUBLIC,BRAINARD ELEMENTARY,38,28,2015
LOS ANGELES UNIFIED,6016075,LOS ANGELES,PUBLIC,BREED STREET ELEMENTARY,73,72,2015
LOS ANGELES UNIFIED,6016083,LOS ANGELES,PUBLIC,BRENTWOOD SCIENCE,21,18,2015
LOS ANGELES UNIFIED,6016091,LOS ANGELES,PUBLIC,BRIDGE STREET ELEMENTARY,38,36,2015
LOS ANGELES UNIFIED,6016109,LOS ANGELES,PUBLIC,BROAD AVENUE ELEMENTARY,123,122,2015
LOS ANGELES UNIFIED,6016117,LOS ANGELES,PUBLIC,BROADACRES AVENUE ELEMENTARY,59,58,2015
LOS ANGELES UNIFIED,6016125,LOS ANGELES,PUBLIC,BROADWAY ELEMENTARY,139,119,2015
LOS ANGELES UNIFIED,6016133,LOS ANGELES,PUBLIC,BROCKTON AVENUE ELEMENTARY,49,40,2015
LOS ANGELES UNIFIED,6016141,LOS ANGELES,PUBLIC,BROOKLYN AVENUE ELEMENTARY,81,80,2015
LOS ANGELES UNIFIED,6016158,LOS ANGELES,PUBLIC,BRYSON AVENUE ELEMENTARY,148,106,2015
LOS ANGELES UNIFIED,6016166,LOS ANGELES,PUBLIC,BUCHANAN STREET ELEMENTARY,77,24,2015
LOS ANGELES UNIFIED,6016174,LOS ANGELES,PUBLIC,BUDLONG AVENUE ELEMENTARY,150,139,2015
LOS ANGELES UNIFIED,6016182,LOS ANGELES,PUBLIC,BURBANK BOULEVARD ELEMENTARY,76,74,2015
LOS ANGELES UNIFIED,6016208,LOS ANGELES,PUBLIC,BURTON STREET ELEMENTARY,70,68,2015
LOS ANGELES UNIFIED,6016216,LOS ANGELES,PUBLIC,BUSHNELL WAY ELEMENTARY,47,25,2015
LOS ANGELES UNIFIED,6016224,LOS ANGELES,PUBLIC,CABRILLO AVENUE ELEMENTARY,87,78,2015
LOS ANGELES UNIFIED,6016232,LOS ANGELES,PUBLIC,CAHUENGA ELEMENTARY,79,71,2015
LOS ANGELES UNIFIED,6016240,LOS ANGELES,PUBLIC,CALABASH CHARTER ACADEMY,84,80,2015
LOS ANGELES UNIFIED,6016257,LOS ANGELES,PUBLIC,CALAHAN COMMUNITY CHARTER,105,98,2015
LOS ANGELES UNIFIED,6016265,LOS ANGELES,PUBLIC,CALVERT CHARTER FOR ENRICHED STUDIES,72,68,2015
LOS ANGELES UNIFIED,6016273,LOS ANGELES,PUBLIC,CAMELLIA AVENUE ELEMENTARY,139,138,2015
LOS ANGELES UNIFIED,0122861,LOS ANGELES,PUBLIC,CAMINO NUEVO ACADEMY 2,72,68,2015
LOS ANGELES UNIFIED,6117667,LOS ANGELES,PUBLIC,CAMINO NUEVO CHARTER ACADEMY,65,65,2015
LOS ANGELES UNIFIED,0124826,LOS ANGELES,PUBLIC,CAMINO NUEVO CHARTER ACADEMY NO. 4,69,61,2015
LOS ANGELES UNIFIED,0122564,LOS ANGELES,PUBLIC,CAMINO NUEVO ELEMENTARY NO. 3,89,87,2015
LOS ANGELES UNIFIED,6016281,LOS ANGELES,PUBLIC,CANFIELD AVENUE ELEMENTARY,83,62,2015
LOS ANGELES UNIFIED,6016299,LOS ANGELES,PUBLIC,CANOGA PARK ELEMENTARY,133,133,2015
LOS ANGELES UNIFIED,6016307,LOS ANGELES,PUBLIC,CANTARA STREET ELEMENTARY,84,82,2015
LOS ANGELES UNIFIED,6016315,LOS ANGELES,PUBLIC,CANTERBURY AVENUE ELEMENTARY,175,151,2015
LOS ANGELES UNIFIED,6016323,LOS ANGELES,PUBLIC,CANYON CHARTER ELEMENTARY,61,47,2015
LOS ANGELES UNIFIED,6016331,LOS ANGELES,PUBLIC,CAPISTRANO AVENUE ELEMENTARY,92,81,2015
LOS ANGELES UNIFIED,0122234,LOS ANGELES,PUBLIC,CARLOS SANTANA ARTS ACADEMY,83,81,2015
LOS ANGELES UNIFIED,6016349,LOS ANGELES,PUBLIC,CAROLDALE LEARNING COMMUNITY,131,127,2015
LOS ANGELES UNIFIED,6016356,LOS ANGELES,PUBLIC,CARPENTER COMMUNITY CHARTER,160,157,2015
LOS ANGELES UNIFIED,6016364,LOS ANGELES,PUBLIC,CARSON STREET ELEMENTARY,154,107,2015
LOS ANGELES UNIFIED,0122101,LOS ANGELES,PUBLIC,CARSON-GORE ACADEMY OF ENVIORNMENTAL STUDIES,116,104,2015
LOS ANGELES UNIFIED,6016372,LOS ANGELES,PUBLIC,CARTHAY ELEMENTARY OF ENVIRONMENTAL STUDIES MAGNET,75,65,2015
LOS ANGELES UNIFIED,6016380,LOS ANGELES,PUBLIC,CASTELAR STREET ELEMENTARY,131,125,2015
LOS ANGELES UNIFIED,6016398,LOS ANGELES,PUBLIC,CASTLE HEIGHTS ELEMENTARY,121,72,2015
LOS ANGELES UNIFIED,6071435,LOS ANGELES,PUBLIC,CASTLEBAY LANE CHARTER,117,113,2015
LOS ANGELES UNIFIED,6016406,LOS ANGELES,PUBLIC,CATSKILL AVENUE ELEMENTARY,104,98,2015
LOS ANGELES UNIFIED,6120794,LOS ANGELES,PUBLIC,CDS ELEMENTARY,,,2015
LOS ANGELES UNIFIED,0123984,LOS ANGELES,PUBLIC,CELERITY CARDINAL CHARTER,79,79,2015
LOS ANGELES UNIFIED,0115766,LOS ANGELES,PUBLIC,CELERITY DYAD CHARTER,101,101,2015
LOS ANGELES UNIFIED,0108910,LOS ANGELES,PUBLIC,CELERITY NASCENT CHARTER,132,132,2015
LOS ANGELES UNIFIED,0122655,LOS ANGELES,PUBLIC,CELERITY OCTAVIA CHARTER,52,52,2015
LOS ANGELES UNIFIED,0123166,LOS ANGELES,PUBLIC,CELERITY PALMATI CHARTER,82,82,2015
LOS ANGELES UNIFIED,0115782,LOS ANGELES,PUBLIC,CELERITY TROIKA CHARTER,76,63,2015
LOS ANGELES UNIFIED,0115139,LOS ANGELES,PUBLIC,CENTER FOR ADVANCED LEARNING,52,45,2015
LOS ANGELES UNIFIED,6016414,LOS ANGELES,PUBLIC,CENTURY PARK ELEMENTARY,77,35,2015
LOS ANGELES UNIFIED,0109439,LOS ANGELES,PUBLIC,CESAR CHAVEZ ELEMENTARY,39,35,2015
LOS ANGELES UNIFIED,6016422,LOS ANGELES,PUBLIC,CHANDLER LEARNING ACADEMY,82,74,2015
LOS ANGELES UNIFIED,6016430,LOS ANGELES,PUBLIC,CHAPMAN ELEMENTARY,77,74,2015
LOS ANGELES UNIFIED,0111989,LOS ANGELES,PUBLIC,CHARLES H. KIM ELEMENTARY,129,92,2015
LOS ANGELES UNIFIED,6018360,LOS ANGELES,PUBLIC,CHARLES W. BARRETT ELEMENTARY,138,122,2015
LOS ANGELES UNIFIED,6016448,LOS ANGELES,PUBLIC,CHARNOCK ROAD ELEMENTARY,66,26,2015
LOS ANGELES UNIFIED,6016455,LOS ANGELES,PUBLIC,CHASE STREET ELEMENTARY,102,91,2015
LOS ANGELES UNIFIED,6016463,LOS ANGELES,PUBLIC,CHATSWORTH PARK ELEMENTARY,73,67,2015
LOS ANGELES UNIFIED,6016471,LOS ANGELES,PUBLIC,CHEREMOYA AVENUE ELEMENTARY,79,43,2015
LOS ANGELES UNIFIED,6119531,LOS ANGELES,PUBLIC,CHIME INSTITUTE'S SCHWARZENEGGER COMMUNITY,85,76,2015
LOS ANGELES UNIFIED,6016679,LOS ANGELES,PUBLIC,CHRISTOPHER DENA ELEMENTARY,67,67,2015
LOS ANGELES UNIFIED,6016489,LOS ANGELES,PUBLIC,CIENEGA ELEMENTARY,139,21,2015
LOS ANGELES UNIFIED,6016497,LOS ANGELES,PUBLIC,CIMARRON AVENUE ELEMENTARY,53,20,2015
LOS ANGELES UNIFIED,0126177,LOS ANGELES,PUBLIC,CITIZENS OF THE WORLD 2,96,84,2015
LOS ANGELES UNIFIED,0126193,LOS ANGELES,PUBLIC,CITIZENS OF THE WORLD 3,,,2015
LOS ANGELES UNIFIED,0122556,LOS ANGELES,PUBLIC,CITIZENS OF THE WORLD CHARTER HOLLYWOOD,72,48,2015
LOS ANGELES UNIFIED,0127886,LOS ANGELES,PUBLIC,CITY LANGUAGE IMMERSION CHARTER,71,59,2015
LOS ANGELES UNIFIED,1996115,LOS ANGELES,PUBLIC,CITY OF ANGELS,,,2015
LOS ANGELES UNIFIED,6016505,LOS ANGELES,PUBLIC,CITY TERRACE ELEMENTARY,80,74,2015
LOS ANGELES UNIFIED,0129825,LOS ANGELES,PUBLIC,CLEMENTE CHARTER,66,63,2015
LOS ANGELES UNIFIED,6016513,LOS ANGELES,PUBLIC,CLIFFORD STREET ELEMENTARY,20,19,2015
LOS ANGELES UNIFIED,6016521,LOS ANGELES,PUBLIC,CLOVER AVENUE ELEMENTARY,140,83,2015
LOS ANGELES UNIFIED,6016539,LOS ANGELES,PUBLIC,COEUR D'ALENE AVENUE ELEMENTARY,141,68,2015
LOS ANGELES UNIFIED,6016547,LOS ANGELES,PUBLIC,COHASSET STREET ELEMENTARY,117,116,2015
LOS ANGELES UNIFIED,6016554,LOS ANGELES,PUBLIC,COLDWATER CANYON ELEMENTARY,139,135,2015
LOS ANGELES UNIFIED,6016562,LOS ANGELES,PUBLIC,COLFAX CHARTER ELEMENTARY,127,113,2015
LOS ANGELES UNIFIED,6016570,LOS ANGELES,PUBLIC,COLISEUM STREET ELEMENTARY,43,34,2015
LOS ANGELES UNIFIED,6120679,LOS ANGELES,PUBLIC,COLUMBUS AVENUE,112,112,2015
LOS ANGELES UNIFIED,6016604,LOS ANGELES,PUBLIC,COMMONWEALTH AVENUE ELEMENTARY,103,84,2015
LOS ANGELES UNIFIED,6094726,LOS ANGELES,PUBLIC,COMMUNITY MAGNET CHARTER ELEMENTARY,64,60,2015
LOS ANGELES UNIFIED,0129874,LOS ANGELES,PUBLIC,COMMUNITY PREPARATORY ACADEMY,,,2015
LOS ANGELES UNIFIED,6016612,LOS ANGELES,PUBLIC,COMPTON AVENUE ELEMENTARY,68,41,2015
LOS ANGELES UNIFIED,6016646,LOS ANGELES,PUBLIC,COWAN AVENUE ELEMENTARY,34,28,2015
LOS ANGELES UNIFIED,6016653,LOS ANGELES,PUBLIC,CRESCENT HEIGHTS BOULEVARD ELEMENTARY,57,48,2015
LOS ANGELES UNIFIED,6016661,LOS ANGELES,PUBLIC,CRESTWOOD STREET ELEMENTARY,96,67,2015
LOS ANGELES UNIFIED,6016687,LOS ANGELES,PUBLIC,DAHLIA HEIGHTS ELEMENTARY,60,54,2015
LOS ANGELES UNIFIED,0109231,LOS ANGELES,PUBLIC,"DANNY J. BAKEWELL, SR., PRIMARY CENTER",208,197,2015
LOS ANGELES UNIFIED,6016695,LOS ANGELES,PUBLIC,DANUBE AVENUE ELEMENTARY,71,71,2015
LOS ANGELES UNIFIED,6016703,LOS ANGELES,PUBLIC,DARBY AVENUE CHARTER,98,95,2015
LOS ANGELES UNIFIED,6016711,LOS ANGELES,PUBLIC,DAYTON HEIGHTS ELEMENTARY,98,93,2015
LOS ANGELES UNIFIED,6016729,LOS ANGELES,PUBLIC,DEARBORN ELEMENTARY CHARTER ACADEMY,89,88,2015
LOS ANGELES UNIFIED,6016737,LOS ANGELES,PUBLIC,DEL AMO ELEMENTARY,76,69,2015
LOS ANGELES UNIFIED,6016745,LOS ANGELES,PUBLIC,DELEVAN DRIVE ELEMENTARY,85,53,2015
LOS ANGELES UNIFIED,6016752,LOS ANGELES,PUBLIC,DENKER AVENUE ELEMENTARY,176,129,2015
LOS ANGELES UNIFIED,6016778,LOS ANGELES,PUBLIC,DIXIE CANYON COMMUNITY CHARTER,142,88,2015
LOS ANGELES UNIFIED,0122135,LOS ANGELES,PUBLIC,DOLORES HUERTA ELEMENTARY,81,60,2015
LOS ANGELES UNIFIED,6016786,LOS ANGELES,PUBLIC,DOLORES STREET ELEMENTARY,108,45,2015
LOS ANGELES UNIFIED,6016794,LOS ANGELES,PUBLIC,DOMINGUEZ ELEMENTARY,117,102,2015
LOS ANGELES UNIFIED,6016802,LOS ANGELES,PUBLIC,DORRIS PLACE ELEMENTARY,45,45,2015
LOS ANGELES UNIFIED,6119903,LOS ANGELES,PUBLIC,DOWNTOWN VALUE,42,42,2015
LOS ANGELES UNIFIED,0117028,LOS ANGELES,PUBLIC,DR. JAMES EDWARD JONES PRIMARY CENTER,88,73,2015
LOS ANGELES UNIFIED,0126433,LOS ANGELES,PUBLIC,"DR. LAWRENCE H. MOORE MATH, SCIENCE, TECHNOLOGY ACADEMY",135,108,2015
LOS ANGELES UNIFIED,0122143,LOS ANGELES,PUBLIC,DR. OWEN LLOYD KNOX ELEMENTARY,141,141,2015
LOS ANGELES UNIFIED,0128710,LOS ANGELES,PUBLIC,DR. SAMMY LEE MEDICAL AND HEALTH SCIENCE MAGNET ELEMENTARY,70,67,2015
LOS ANGELES UNIFIED,0102491,LOS ANGELES,PUBLIC,"DR. THEO. T. ALEXANDER JR., SCIENCE CENTER",120,102,2015
LOS ANGELES UNIFIED,6016828,LOS ANGELES,PUBLIC,DYER STREET ELEMENTARY,149,149,2015
LOS ANGELES UNIFIED,6016836,LOS ANGELES,PUBLIC,EAGLE ROCK ELEMENTARY,93,50,2015
LOS ANGELES UNIFIED,6016844,LOS ANGELES,PUBLIC,EASTMAN AVENUE ELEMENTARY,168,167,2015
LOS ANGELES UNIFIED,6016851,LOS ANGELES,PUBLIC,EL DORADO AVENUE ELEMENTARY,100,99,2015
LOS ANGELES UNIFIED,6016869,LOS ANGELES,PUBLIC,EL ORO WAY CHARTER FOR ENRICHED STUDIES,82,79,2015
LOS ANGELES UNIFIED,6016877,LOS ANGELES,PUBLIC,EL SERENO ELEMENTARY,74,70,2015
LOS ANGELES UNIFIED,6016885,LOS ANGELES,PUBLIC,ELIZABETH LEARNING CENTER,104,88,2015
LOS ANGELES UNIFIED,6118186,LOS ANGELES,PUBLIC,ELLEN OCHOA LEARNING CENTER,180,171,2015
LOS ANGELES UNIFIED,6016893,LOS ANGELES,PUBLIC,ELYSIAN HEIGHTS ELEMENTARY,55,51,2015
LOS ANGELES UNIFIED,6016901,LOS ANGELES,PUBLIC,EMELITA ACADEMY CHARTER,87,79,2015
LOS ANGELES UNIFIED,0117036,LOS ANGELES,PUBLIC,ENADIA TECHNOLOGY ENRICHED CHARTER,46,42,2015
LOS ANGELES UNIFIED,6016935,LOS ANGELES,PUBLIC,ENCINO CHARTER ELEMENTARY,92,90,2015
LOS ANGELES UNIFIED,0120014,LOS ANGELES,PUBLIC,ENDEAVOR COLLEGE PREPARATORY CHARTER,61,53,2015
LOS ANGELES UNIFIED,0119982,LOS ANGELES,PUBLIC,EQUITAS ACADEMY CHARTER,81,81,2015
LOS ANGELES UNIFIED,6016943,LOS ANGELES,PUBLIC,ERWIN ELEMENTARY,130,127,2015
LOS ANGELES UNIFIED,6016950,LOS ANGELES,PUBLIC,ESHELMAN AVENUE ELEMENTARY,103,95,2015
LOS ANGELES UNIFIED,6110969,LOS ANGELES,PUBLIC,ESPERANZA ELEMENTARY,192,167,2015
LOS ANGELES UNIFIED,0122119,LOS ANGELES,PUBLIC,ESTRELLA ELEMENTARY,104,103,2015
